blind_id,case_id,persona,architecture,student_leg,claude_R1,claude_R2,claude_R3,claude_R4,claude_R5,claude_R6,gemini_R1,gemini_R2,gemini_R3,gemini_R4,gemini_R5,gemini_R6,judge_provider,judge_model,pass1_error,pass2_error,file_path
D32f8b94038,case_17,constructive,hybrid,leg_a,1,2,1,2,1,2,1,2,1,1,1,1,gemini,gemini-2.5-pro,,,dialogues/case_17__constructive__hybrid__leg_a.json
D7b81d84bdb,case_13,rule_based,hybrid,leg_b,4,2,2,5,5,5,3,2,1,2,5,3,gemini,gemini-2.5-pro,,,dialogues/case_13__rule_based__hybrid__leg_b.json
Df16451f36c,case_7,constructive,pure_ai,leg_b,4,2,3,5,3,5,3,2,2,5,3,5,gemini,gemini-2.5-pro,,,dialogues/case_7__constructive__pure_ai__leg_b.json
Ddafbf147ec,case_6,constructive,baseline,leg_a,2,2,2,5,4,3,2,2,1,5,2,2,gemini,gemini-2.5-pro,,,dialogues/case_6__constructive__baseline__leg_a.json
D80fde584a8,case_3,traditional,pure_cbr_llm,leg_a,2,3,2,5,1,1,1,2,1,5,1,1,gemini,gemini-2.5-pro,,,dialogues/case_3__traditional__pure_cbr_llm__leg_a.json
D46d603d9e2,case_15,experiential,pure_cbr_llm,leg_b,2,1,2,2,3,4,2,1,1,1,3,2,gemini,gemini-2.5-pro,,,dialogues/case_15__experiential__pure_cbr_llm__leg_b.json
Ddd8742205a,case_1,socratic,pure_cbr_llm,leg_b,4,4,4,5,5,5,3,2,3,5,4,3,gemini,gemini-2.5-pro,,,dialogues/case_1__socratic__pure_cbr_llm__leg_b.json
D6c7a091f91,case_8,rule_based,pure_cbr_tpl,leg_b,1,1,1,1,1,1,1,1,1,5,4,1,gemini,gemini-2.5-pro,,,dialogues/case_8__rule_based__pure_cbr_tpl__leg_b.json
D538ca8f9e6,case_11,socratic,hybrid,leg_a,2,3,2,2,1,4,4,5,3,5,2,5,gemini,gemini-2.5-pro,,,dialogues/case_11__socratic__hybrid__leg_a.json
D1efd46bd9d,case_7,experiential,baseline,leg_b,2,2,1,5,3,4,2,3,1,5,4,5,gemini,gemini-2.5-pro,,,dialogues/case_7__experiential__baseline__leg_b.json
D91b63273cd,case_16,constructive,baseline,leg_b,4,3,4,5,5,5,3,4,3,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_16__constructive__baseline__leg_b.json
Db40ee76a76,case_22,constructive,baseline,leg_b,4,4,4,5,5,4,2,5,2,5,5,4,gemini,gemini-2.5-pro,,,dialogues/case_22__constructive__baseline__leg_b.json
Dfe343bad67,case_7,experiential,pure_ai,leg_b,2,2,2,5,4,5,3,2,3,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_7__experiential__pure_ai__leg_b.json
D306d720b26,case_13,socratic,pure_cbr_llm,leg_b,4,4,4,5,5,5,5,5,5,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_13__socratic__pure_cbr_llm__leg_b.json
D695395a3d3,case_2,socratic,pure_cbr_tpl,leg_b,1,1,1,1,3,1,1,1,1,1,3,1,gemini,gemini-2.5-pro,,,dialogues/case_2__socratic__pure_cbr_tpl__leg_b.json
D529c70877a,case_24,experiential,pure_ai,leg_a,2,3,2,2,3,2,4,4,5,5,4,4,gemini,gemini-2.5-pro,,,dialogues/case_24__experiential__pure_ai__leg_a.json
D6c531c8da7,case_16,socratic,pure_cbr_llm,leg_a,2,3,2,5,2,5,2,3,1,5,1,5,gemini,gemini-2.5-pro,,,dialogues/case_16__socratic__pure_cbr_llm__leg_a.json
D0a56561f2e,case_11,socratic,hybrid,leg_b,2,3,2,5,3,4,3,4,2,5,4,5,gemini,gemini-2.5-pro,,,dialogues/case_11__socratic__hybrid__leg_b.json
De46d99bab5,case_5,rule_based,pure_cbr_tpl,leg_a,1,1,1,1,1,1,1,1,1,3,1,1,gemini,gemini-2.5-pro,,,dialogues/case_5__rule_based__pure_cbr_tpl__leg_a.json
Dadf124dc9d,case_16,traditional,pure_cbr_tpl,leg_a,1,1,1,3,4,1,1,1,1,4,1,1,gemini,gemini-2.5-pro,,,dialogues/case_16__traditional__pure_cbr_tpl__leg_a.json
D2dd748d40b,case_23,experiential,baseline,leg_b,2,2,2,1,3,4,1,1,1,1,1,2,gemini,gemini-2.5-pro,,,dialogues/case_23__experiential__baseline__leg_b.json
D028a998a1d,case_11,constructive,pure_cbr_tpl,leg_a,1,1,1,2,1,1,1,1,1,3,1,1,gemini,gemini-2.5-pro,,,dialogues/case_11__constructive__pure_cbr_tpl__leg_a.json
Da16ca448e0,case_11,experiential,pure_cbr_llm,leg_a,2,2,2,4,3,2,2,1,2,5,2,3,gemini,gemini-2.5-pro,,,dialogues/case_11__experiential__pure_cbr_llm__leg_a.json
D7f12d13eda,case_7,socratic,baseline,leg_a,2,3,2,5,2,5,4,5,4,5,2,5,gemini,gemini-2.5-pro,,,dialogues/case_7__socratic__baseline__leg_a.json
D3457c988a5,case_4,constructive,hybrid,leg_b,4,2,3,5,4,2,5,5,4,5,5,5,gemini,gemini-2.5-pro,,,dialogues/case_4__constructive__hybrid__leg_b.json
Dac4ad10330,case_23,socratic,baseline,leg_a,2,3,2,5,4,5,4,5,5,5,5,4,gemini,gemini-2.5-pro,,,dialogues/case_23__socratic__baseline__leg_a.json
